Area,Item,Year,yield_hg_per_ha,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Albania,Wheat,2002,31617.0,1485.0,691.75,16.47
Albania,Wheat,2004,31130.0,1485.0,817.68,16.16
Albania,Wheat,2005,31582.0,1485.0,880.64,15.67
Albania,Wheat,2006,30787.0,1485.0,943.61,15.92
Albania,Wheat,2007,35496.0,1485.0,1006.57,16.67
Albania,Wheat,2008,40168.0,1485.0,1069.54,16.71
Albania,Wheat,2009,40229.0,1485.0,1132.5,16.73
Albania,Wheat,2010,39905.0,1485.0,1311.17,16.52
Albania,Wheat,2011,42301.0,1485.0,1302.63,16.45
Albania,Wheat,2012,41096.0,1485.0,766.25,16.7
Albania,Wheat,2013,41292.0,1485.0,982.32,17.41
Algeria,Maize,1990,16500.0,89.0,1828.92,17.48
Algeria,Maize,1991,19231.0,89.0,2461.8,16.26
Algeria,Maize,1992,22828.0,89.0,1215.47,16.27
Algeria,Maize,1993,12500.0,89.0,1021.89,17.0
Algeria,Maize,1994,4512.0,89.0,1255.02,17.88
Algeria,Maize,1995,16115.0,89.0,2697.09,17.36
Algeria,Maize,1996,17154.0,89.0,479.77,16.76
Algeria,Maize,1997,21417.0,89.0,401.22,17.84
Algeria,Maize,1998,17222.0,89.0,322.84,17.14
Algeria,Maize,1999,22375.0,89.0,654.45,17.97
Algeria,Maize,2000,36186.0,89.0,603.67,17.9
Algeria,Maize,2001,27175.0,89.0,710.11,18.13
Algeria,Maize,2002,33480.0,89.0,816.55,17.85
Algeria,Maize,2004,31729.0,89.0,3747.86,17.38
Algeria,Maize,2005,33864.0,89.0,3662.87,17.19
Algeria,Maize,2006,65668.0,89.0,4110.72,18.13
Algeria,Maize,2007,85625.0,89.0,5390.79,17.42
Algeria,Maize,2008,44714.0,89.0,11556.12,17.55
Algeria,Maize,2009,30914.0,89.0,3867.99,17.78
Algeria,Maize,2010,25827.0,89.0,1295.88,17.59
Algeria,Maize,2011,23374.0,89.0,13861.76,17.79
Algeria,Maize,2012,25583.0,89.0,17379.76,17.91
Algeria,Maize,2013,33649.0,89.0,17278.65,17.65
Algeria,Rice,1990,28000.0,89.0,1828.92,17.48
Algeria,Rice,1991,26786.0,89.0,2461.8,16.26
Algeria,Rice,1992,24733.0,89.0,1215.47,16.27
Algeria,Rice,1993,23111.0,89.0,1021.89,17.0
Algeria,Rice,1994,21374.0,89.0,1255.02,17.88
Algeria,Rice,1995,19598.0,89.0,2697.09,17.36
Algeria,Rice,1996,17861.0,89.0,479.77,16.76
Algeria,Rice,1997,15000.0,89.0,401.22,17.84
Algeria,Rice,1998,15000.0,89.0,322.84,17.14
Algeria,Rice,1999,13942.0,89.0,654.45,17.97
Algeria,Rice,2000,13052.0,89.0,603.67,17.9
Algeria,Rice,2001,12314.0,89.0,710.11,18.13
Algeria,Rice,2002,12959.0,89.0,816.55,17.85
Algeria,Rice,2004,12829.0,89.0,3747.86,17.38
Algeria,Rice,2005,12998.0,89.0,3662.87,17.19
Algeria,Rice,2006,12769.0,89.0,4110.72,18.13
Algeria,Rice,2007,13375.0,89.0,5390.79,17.42
Algeria,Rice,2008,13952.0,89.0,11556.12,17.55
Algeria,Rice,2009,14594.0,89.0,3867.99,17.78
Algeria,Rice,2010,15305.0,89.0,1295.88,17.59
Algeria,Rice,2011,16081.0,89.0,13861.76,17.79
Algeria,Rice,2012,16667.0,89.0,17379.76,17.91
Algeria,Rice,2013,17778.0,89.0,17278.65,17.65
Algeria,Wheat,1990,6315.0,89.0,1828.92,17.48
Algeria,Wheat,1991,10809.0,89.0,2461.8,16.26
Algeria,Wheat,1992,9939.0,89.0,1215.47,16.27
Algeria,Wheat,1993,8097.0,89.0,1021.89,17.0
Algeria,Wheat,1994,7999.0,89.0,1255.02,17.88
Algeria,Wheat,1995,8924.0,89.0,2697.09,17.36
Algeria,Wheat,1996,13090.0,89.0,479.77,16.76
Algeria,Wheat,1997,8016.0,89.0,401.22,17.84
Algeria,Wheat,1998,8847.0,89.0,322.84,17.14
Algeria,Wheat,1999,10711.0,89.0,654.45,17.97
Algeria,Wheat,2000,9194.0,89.0,603.67,17.9
Algeria,Wheat,2001,11104.0,89.0,710.11,18.13
Algeria,Wheat,2002,10739.0,89.0,816.55,17.85
Algeria,Wheat,2004,13582.0,89.0,3747.86,17.38
Algeria,Wheat,2005,15057.0,89.0,3662.87,17.19
Algeria,Wheat,2006,15068.0,89.0,4110.72,18.13
Algeria,Wheat,2007,12742.0,89.0,5390.79,17.42
Algeria,Wheat,2008,11038.0,89.0,11556.12,17.55
Algeria,Wheat,2009,15975.0,89.0,3867.99,17.78
Algeria,Wheat,2010,14838.0,89.0,1295.88,17.59
Algeria,Wheat,2011,17405.0,89.0,13861.76,17.79
Algeria,Wheat,2012,17639.0,89.0,17379.76,17.91
Algeria,Wheat,2013,19100.0,89.0,17278.65,17.65
Angola,Maize,1990,2736.0,1010.0,64.0,24.12
Angola,Maize,1991,4013.0,1010.0,79.0,24.02
Angola,Maize,1992,3778.0,1010.0,23.0,23.96
Angola,Maize,1993,2627.0,1010.0,169.0,24.15
Angola,Maize,1994,2463.0,1010.0,25.5,24.04
Angola,Maize,1995,3517.0,1010.0,336.0,24.56
Angola,Maize,1996,6993.0,1010.0,40.0,24.11
Angola,Maize,1997,5959.0,1010.0,40.0,24.06
Angola,Maize,1998,7396.0,1010.0,40.0,24.96
Angola,Maize,1999,6361.0,1010.0,40.0,24.37
Angola,Maize,2000,5745.0,1010.0,40.0,24.41
Angola,Maize,2001,5754.0,1010.0,40.0,24.43
Angola,Maize,2002,6706.0,1010.0,40.0,24.79
Angola,Maize,2004,5404.0,1010.0,40.0,24.22
Angola,Maize,2005,6736.0,1010.0,40.0,24.41
Angola,Maize,2006,4687.0,1010.0,40.0,24.14
Angola,Maize,2007,5091.0,1010.0,40.0,24.24
Angola,Maize,2008,7946.0,1010.0,40.0,24.27
Angola,Maize,2009,6614.0,1010.0,40.0,24.33
Angola,Maize,2010,7200.0,1010.0,40.0,24.44
Angola,Maize,2011,7376.0,1010.0,40.0,24.15
Angola,Maize,2012,7770.0,1010.0,40.0,24.24
Angola,Maize,2013,9467.0,1010.0,40.0,24.55
Angola,Rice,1990,9512.0,1010.0,64.0,24.12
Angola,Rice,1991,10000.0,1010.0,79.0,24.02
Angola,Rice,1992,9106.0,1010.0,23.0,23.96
Angola,Rice,1993,8000.0,1010.0,169.0,24.15
Angola,Rice,1994,8750.0,1010.0,25.5,24.04
Angola,Rice,1995,14615.0,1010.0,336.0,24.56
Angola,Rice,1996,17500.0,1010.0,40.0,24.11
Angola,Rice,1997,20000.0,1010.0,40.0,24.06
Angola,Rice,1998,20000.0,1010.0,40.0,24.96
Angola,Rice,1999,14235.0,1010.0,40.0,24.37
Angola,Rice,2000,13454.0,1010.0,40.0,24.41
Angola,Rice,2001,13701.0,1010.0,40.0,24.43
Angola,Rice,2002,13198.0,1010.0,40.0,24.79
Angola,Rice,2004,11584.0,1010.0,40.0,24.22
Angola,Rice,2005,6977.0,1010.0,40.0,24.41
Angola,Rice,2006,4947.0,1010.0,40.0,24.14
Angola,Rice,2007,5143.0,1010.0,40.0,24.24
Angola,Rice,2008,5084.0,1010.0,40.0,24.27
Angola,Rice,2009,6028.0,1010.0,40.0,24.33
Angola,Rice,2010,7403.0,1010.0,40.0,24.44
Angola,Rice,2011,8914.0,1010.0,40.0,24.15
Angola,Rice,2012,7703.0,1010.0,40.0,24.24
Angola,Rice,2013,12744.0,1010.0,40.0,24.55
Angola,Soybean,2000,2333.0,1010.0,40.0,24.41
Angola,Soybean,2001,2500.0,1010.0,40.0,24.43
Angola,Soybean,2002,2857.0,1010.0,40.0,24.79
Angola,Soybean,2004,3600.0,1010.0,40.0,24.22
Angola,Soybean,2005,3793.0,1010.0,40.0,24.41
Angola,Soybean,2006,4286.0,1010.0,40.0,24.14
Angola,Soybean,2007,6883.0,1010.0,40.0,24.24
Angola,Soybean,2008,8575.0,1010.0,40.0,24.27
Angola,Soybean,2009,4449.0,1010.0,40.0,24.33
Angola,Soybean,2010,4446.0,1010.0,40.0,24.44
Angola,Soybean,2011,5294.0,1010.0,40.0,24.15
Angola,Soybean,2012,1641.0,1010.0,40.0,24.24
Angola,Soybean,2013,4405.0,1010.0,40.0,24.55
Angola,Wheat,1990,7995.0,1010.0,64.0,24.12
Angola,Wheat,1991,8000.0,1010.0,79.0,24.02
Angola,Wheat,1992,8000.0,1010.0,23.0,23.96
Angola,Wheat,1993,8876.0,1010.0,169.0,24.15
Angola,Wheat,1994,10000.0,1010.0,25.5,24.04
Angola,Wheat,1995,11855.0,1010.0,336.0,24.56
Angola,Wheat,1996,13738.0,1010.0,40.0,24.11
Angola,Wheat,1997,15509.0,1010.0,40.0,24.06
Angola,Wheat,1998,17143.0,1010.0,40.0,24.96
Angola,Wheat,1999,17391.0,1010.0,40.0,24.37
Angola,Wheat,2000,17023.0,1010.0,40.0,24.41
Angola,Wheat,2001,16667.0,1010.0,40.0,24.43
Angola,Wheat,2002,15455.0,1010.0,40.0,24.79
Angola,Wheat,2004,12442.0,1010.0,40.0,24.22
Angola,Wheat,2005,10946.0,1010.0,40.0,24.41
Angola,Wheat,2006,10000.0,1010.0,40.0,24.14
Angola,Wheat,2007,10000.0,1010.0,40.0,24.24
Angola,Wheat,2008,10000.0,1010.0,40.0,24.27
Angola,Wheat,2009,10000.0,1010.0,40.0,24.33
Angola,Wheat,2010,10526.0,1010.0,40.0,24.44
Angola,Wheat,2011,10959.0,1010.0,40.0,24.15
Angola,Wheat,2012,11258.0,1010.0,40.0,24.24
Angola,Wheat,2013,9022.0,1010.0,40.0,24.55
Argentina,Maize,1990,34608.0,591.0,26156.0,17.565
Argentina,Maize,1991,40444.0,591.0,26156.0,17.75
Argentina,Maize,1992,45237.0,591.0,26156.0,17.3
Argentina,Maize,1993,43552.0,591.0,26156.0,17.425
Argentina,Maize,1994,42371.0,591.0,30195.0,18.240000000000002
Argentina,Maize,1995,45223.0,591.0,37842.0,17.68
Argentina,Maize,1996,40397.0,591.0,54595.0,17.805
Argentina,Maize,1997,45557.0,591.0,77691.0,18.415
Argentina,Maize,1998,60780.0,591.0,62397.0,17.375
Argentina,Maize,1999,53702.0,591.0,62831.39,17.43
Argentina,Maize,2000,54329.0,591.0,63265.78,17.32
Argentina,Maize,2001,54553.0,591.0,63700.17,18.065
Argentina,Maize,2002,60791.0,591.0,64134.56,17.825
Argentina,Maize,2004,63931.0,591.0,65003.34,17.89
Argentina,Maize,2005,73587.0,591.0,65437.73,17.575
Argentina,Maize,2006,59030.0,591.0,65872.12,18.225
Argentina,Maize,2007,76655.0,591.0,81582.64,16.925
Argentina,Maize,2008,64525.0,591.0,87149.01,18.05
Argentina,Maize,2009,55760.0,591.0,61586.56,18.125
Argentina,Maize,2010,78040.0,591.0,105915.04,17.585
Argentina,Maize,2011,63503.0,591.0,100424.62,17.755
Argentina,Maize,2012,57346.0,591.0,136185.08,18.305
Argentina,Maize,2013,66037.0,591.0,171945.54,16.665
Argentina,Rice,1990,36709.0,591.0,26156.0,17.565
Argentina,Rice,1991,40294.0,591.0,26156.0,17.75
Argentina,Rice,1992,52075.0,591.0,26156.0,17.3
Argentina,Rice,1993,43559.0,591.0,26156.0,17.425
Argentina,Rice,1994,42989.0,591.0,30195.0,18.240000000000002
Argentina,Rice,1995,50306.0,591.0,37842.0,17.68
Argentina,Rice,1996,51031.0,591.0,54595.0,17.805
Argentina,Rice,1997,53703.0,591.0,77691.0,18.415
Argentina,Rice,1998,47762.0,591.0,62397.0,17.375
Argentina,Rice,1999,57337.0,591.0,62831.39,17.43
Argentina,Rice,2000,47798.0,591.0,63265.78,17.32
Argentina,Rice,2001,57495.0,591.0,63700.17,18.065
Argentina,Rice,2002,57197.0,591.0,64134.56,17.825
Argentina,Rice,2004,62661.0,591.0,65003.34,17.89
Argentina,Rice,2005,60165.0,591.0,65437.73,17.575
Argentina,Rice,2006,70610.0,591.0,65872.12,18.225
Argentina,Rice,2007,65604.0,591.0,81582.64,16.925
Argentina,Rice,2008,68278.0,591.0,87149.01,18.05
Argentina,Rice,2009,68842.0,591.0,61586.56,18.125
Argentina,Rice,2010,57646.0,591.0,105915.04,17.585
Argentina,Rice,2011,67901.0,591.0,100424.62,17.755
Argentina,Rice,2012,66617.0,591.0,136185.08,18.305
Argentina,Rice,2013,67187.0,591.0,171945.54,16.665
Argentina,Soybean,1990,21566.0,591.0,26156.0,17.565
Argentina,Soybean,1991,22750.0,591.0,26156.0,17.75
Argentina,Soybean,1992,22915.0,591.0,26156.0,17.3
Argentina,Soybean,1993,21589.0,591.0,26156.0,17.425
Argentina,Soybean,1994,20386.0,591.0,30195.0,18.240000000000002
Argentina,Soybean,1995,20446.0,591.0,37842.0,17.68
Argentina,Soybean,1996,21051.0,591.0,54595.0,17.805
Argentina,Soybean,1997,17212.0,591.0,77691.0,18.415
Argentina,Soybean,1998,26937.0,591.0,62397.0,17.375
Argentina,Soybean,1999,24450.0,591.0,62831.39,17.43
Argentina,Soybean,2000,23312.0,591.0,63265.78,17.32
Argentina,Soybean,2001,25846.0,591.0,63700.17,18.065
Argentina,Soybean,2002,26304.0,591.0,64134.56,17.825
Argentina,Soybean,2004,22075.0,591.0,65003.34,17.89
Argentina,Soybean,2005,27287.0,591.0,65437.73,17.575
Argentina,Soybean,2006,26793.0,591.0,65872.12,18.225
Argentina,Soybean,2007,29712.0,591.0,81582.64,16.925
Argentina,Soybean,2008,28216.0,591.0,87149.01,18.05
Argentina,Soybean,2009,18480.0,591.0,61586.56,18.125
Argentina,Soybean,2010,29053.0,591.0,105915.04,17.585
Argentina,Soybean,2011,26053.0,591.0,100424.62,17.755
Argentina,Soybean,2012,22814.0,591.0,136185.08,18.305
Argentina,Soybean,2013,25391.0,591.0,171945.54,16.665
Argentina,Wheat,1990,18947.0,591.0,26156.0,17.565
Argentina,Wheat,1991,18972.0,591.0,26156.0,17.75
Argentina,Wheat,1992,21809.0,591.0,26156.0,17.3
Argentina,Wheat,1993,23272.0,591.0,26156.0,17.425
Argentina,Wheat,1994,20237.0,591.0,30195.0,18.240000000000002
Argentina,Wheat,1995,21675.0,591.0,37842.0,17.68
Argentina,Wheat,1996,19344.0,591.0,54595.0,17.805
Argentina,Wheat,1997,22426.0,591.0,77691.0,18.415
Argentina,Wheat,1998,26088.0,591.0,62397.0,17.375
Argentina,Wheat,1999,23028.0,591.0,62831.39,17.43
Argentina,Wheat,2000,24873.0,591.0,63265.78,17.32
Argentina,Wheat,2001,24934.0,591.0,63700.17,18.065
Argentina,Wheat,2002,22398.0,591.0,64134.56,17.825
Argentina,Wheat,2004,25441.0,591.0,65003.34,17.89
Argentina,Wheat,2005,26356.0,591.0,65437.73,17.575
Argentina,Wheat,2006,25302.0,591.0,65872.12,18.225
Argentina,Wheat,2007,26234.0,591.0,81582.64,16.925
Argentina,Wheat,2008,28271.0,591.0,87149.01,18.05
Argentina,Wheat,2009,19628.0,591.0,61586.56,18.125
Argentina,Wheat,2010,27113.0,591.0,105915.04,17.585
Argentina,Wheat,2011,35063.0,591.0,100424.62,17.755
Argentina,Wheat,2012,32199.0,591.0,136185.08,18.305
Argentina,Wheat,2013,26581.0,591.0,171945.54,16.665
Armenia,Maize,1992,32344.0,562.0,8.0,7.44
Armenia,Maize,1993,32261.0,562.0,8.0,7.69
Armenia,Maize,1994,32667.0,562.0,23.0,8.84
Armenia,Maize,1995,18261.0,562.0,23.9,9.76
Armenia,Maize,1996,22239.0,562.0,32.0,9.55
Armenia,Maize,1997,45548.0,562.0,41.46,9.1
Armenia,Maize,1998,26082.0,562.0,50.92,10.28
Armenia,Maize,1999,40303.0,562.0,60.38,10.11
Armenia,Maize,2000,23178.0,562.0,69.85,9.68
Armenia,Maize,2001,37913.0,562.0,79.31,10.18
Armenia,Maize,2002,37380.0,562.0,88.77,9.41
Armenia,Maize,2004,61791.0,562.0,204.77,9.55
Armenia,Maize,2005,44692.0,562.0,220.51,9.58
Armenia,Maize,2006,33271.0,562.0,227.55,9.89
Armenia,Maize,2007,53262.0,562.0,241.71,9.44
Armenia,Maize,2008,53424.0,562.0,218.2,9.51
Armenia,Maize,2009,57763.0,562.0,198.36,9.67
Armenia,Maize,2010,46724.0,562.0,278.72,11.31
Armenia,Maize,2011,54257.0,562.0,278.72,8.93
Armenia,Maize,2012,62215.0,562.0,278.72,10.2
Armenia,Maize,2013,67114.0,562.0,278.72,11.08
Armenia,Wheat,1992,21600.0,562.0,8.0,7.44
Armenia,Wheat,1993,22257.0,562.0,8.0,7.69
Armenia,Wheat,1994,17842.0,562.0,23.0,8.84
Armenia,Wheat,1995,25480.0,562.0,23.9,9.76
Armenia,Wheat,1996,23569.0,562.0,32.0,9.55
Armenia,Wheat,1997,17009.0,562.0,41.46,9.1
Armenia,Wheat,1998,20651.0,562.0,50.92,10.28
Armenia,Wheat,1999,19466.0,562.0,60.38,10.11
Armenia,Wheat,2000,16679.0,562.0,69.85,9.68
Armenia,Wheat,2001,22263.0,562.0,79.31,10.18
Armenia,Wheat,2002,23877.0,562.0,88.77,9.41
Armenia,Wheat,2004,23416.0,562.0,204.77,9.55
Armenia,Wheat,2005,20252.0,562.0,220.51,9.58
Armenia,Wheat,2006,14627.0,562.0,227.55,9.89
Armenia,Wheat,2007,25837.0,562.0,241.71,9.44
Armenia,Wheat,2008,24322.0,562.0,218.2,9.51
Armenia,Wheat,2009,22374.0,562.0,198.36,9.67
Armenia,Wheat,2010,21192.0,562.0,278.72,11.31
Armenia,Wheat,2011,28800.0,562.0,278.72,8.93
Armenia,Wheat,2012,26010.0,562.0,278.72,10.2
Armenia,Wheat,2013,31273.0,562.0,278.72,11.08
Australia,Maize,1990,41821.0,534.0,17866.0,16.441666666666666
Australia,Maize,1991,39938.0,534.0,17866.0,16.606666666666666
Australia,Maize,1992,51721.0,534.0,22234.0,15.905000000000001
Australia,Maize,1993,44261.0,534.0,23899.0,16.333333333333332
Australia,Maize,1994,46620.0,534.0,21057.0,16.278333333333332
Australia,Maize,1995,48263.0,534.0,25598.0,16.103333333333335
Australia,Maize,1996,57689.0,534.0,31185.0,16.116666666666667
Australia,Maize,1997,59403.0,534.0,34091.0,16.525000000000002
Australia,Maize,1998,47544.0,534.0,37215.0,16.653333333333332
Australia,Maize,1999,51212.0,534.0,34200.0,16.608333333333334
Australia,Maize,2000,49360.0,534.0,33475.0,16.669999999999998
Australia,Maize,2001,46471.0,534.0,32710.0,16.591666666666665
Australia,Maize,2002,54929.0,534.0,26651.0,16.676666666666666
Australia,Maize,2004,56326.0,534.0,36276.0,16.648333333333333
Australia,Maize,2005,57983.0,534.0,34310.0,16.798333333333336
Australia,Maize,2006,53856.0,534.0,35900.0,16.69333333333333
Australia,Maize,2007,49103.0,534.0,32446.25,17.08
Australia,Maize,2008,56912.0,534.0,42935.38,16.45
Australia,Maize,2009,58171.0,534.0,38065.68,17.125
Australia,Maize,2010,55593.0,534.0,42169.39,16.79
Australia,Maize,2011,57390.0,534.0,47632.99,16.805
Australia,Maize,2012,64654.0,534.0,48687.88,16.666666666666668
Australia,Maize,2013,64441.0,534.0,45177.18,17.088333333333335
Australia,Rice,1990,88000.0,534.0,17866.0,16.441666666666666
Australia,Rice,1991,88427.0,534.0,17866.0,16.606666666666666
Australia,Rice,1992,88346.0,534.0,22234.0,15.905000000000001
Australia,Rice,1993,76400.0,534.0,23899.0,16.333333333333332
Australia,Rice,1994,81537.0,534.0,21057.0,16.278333333333332
Australia,Rice,1995,88003.0,534.0,25598.0,16.103333333333335
Australia,Rice,1996,63540.0,534.0,31185.0,16.116666666666667
Australia,Rice,1997,83263.0,534.0,34091.0,16.525000000000002
Australia,Rice,1998,94256.0,534.0,37215.0,16.653333333333332
Australia,Rice,1999,91615.0,534.0,34200.0,16.608333333333334
Australia,Rice,2000,82573.0,534.0,33475.0,16.669999999999998
Australia,Rice,2001,93071.0,534.0,32710.0,16.591666666666665
Australia,Rice,2002,82580.0,534.0,26651.0,16.676666666666666
Australia,Rice,2004,83305.0,534.0,36276.0,16.648333333333333
Australia,Rice,2005,66168.0,534.0,34310.0,16.798333333333336
Australia,Rice,2006,98176.0,534.0,35900.0,16.69333333333333
Australia,Rice,2007,82609.0,534.0,32446.25,17.08
Australia,Rice,2008,75988.0,534.0,42935.38,16.45
Australia,Rice,2009,84609.0,534.0,38065.68,17.125
Australia,Rice,2010,103895.0,534.0,42169.39,16.79
Australia,Rice,2011,95441.0,534.0,47632.99,16.805
Australia,Rice,2012,89098.0,534.0,48687.88,16.666666666666668
Australia,Rice,2013,102177.0,534.0,45177.18,17.088333333333335
Australia,Soybean,1990,15718.0,534.0,17866.0,16.441666666666666
Australia,Soybean,1991,15551.0,534.0,17866.0,16.606666666666666
Australia,Soybean,1992,21141.0,534.0,22234.0,15.905000000000001
Australia,Soybean,1993,16168.0,534.0,23899.0,16.333333333333332
Australia,Soybean,1994,19999.0,534.0,21057.0,16.278333333333332
Australia,Soybean,1995,15318.0,534.0,25598.0,16.103333333333335
Australia,Soybean,1996,18740.0,534.0,31185.0,16.116666666666667
Australia,Soybean,1997,18974.0,534.0,34091.0,16.525000000000002
Australia,Soybean,1998,17035.0,534.0,37215.0,16.653333333333332
Australia,Soybean,1999,22667.0,534.0,34200.0,16.608333333333334
Australia,Soybean,2000,18714.0,534.0,33475.0,16.669999999999998
Australia,Soybean,2001,14626.0,534.0,32710.0,16.591666666666665
Australia,Soybean,2002,19487.0,534.0,26651.0,16.676666666666666
Australia,Soybean,2004,22136.0,534.0,36276.0,16.648333333333333
Australia,Soybean,2005,16810.0,534.0,34310.0,16.798333333333336
Australia,Soybean,2006,20993.0,534.0,35900.0,16.69333333333333
Australia,Soybean,2007,19730.0,534.0,32446.25,17.08
Australia,Soybean,2008,23289.0,534.0,42935.38,16.45
Australia,Soybean,2009,18926.0,534.0,38065.68,17.125
Australia,Soybean,2010,19042.0,534.0,42169.39,16.79
Australia,Soybean,2011,17136.0,534.0,47632.99,16.805
Australia,Soybean,2012,22598.0,534.0,48687.88,16.666666666666668
Australia,Soybean,2013,22336.0,534.0,45177.18,17.088333333333335
Australia,Wheat,1990,16344.0,534.0,17866.0,16.441666666666666
Australia,Wheat,1991,14698.0,534.0,17866.0,16.606666666666666
Australia,Wheat,1992,17812.0,534.0,22234.0,15.905000000000001
Australia,Wheat,1993,19658.0,534.0,23899.0,16.333333333333332
Australia,Wheat,1994,11356.0,534.0,21057.0,16.278333333333332
Australia,Wheat,1995,17899.0,534.0,25598.0,16.103333333333335
Australia,Wheat,1996,21673.0,534.0,31185.0,16.116666666666667
Australia,Wheat,1997,18412.0,534.0,34091.0,16.525000000000002
Australia,Wheat,1998,19153.0,534.0,37215.0,16.653333333333332
Australia,Wheat,1999,20066.0,534.0,34200.0,16.608333333333334
Australia,Wheat,2000,18209.0,534.0,33475.0,16.669999999999998
Australia,Wheat,2001,18209.0,534.0,32710.0,16.591666666666665
Australia,Wheat,2002,21076.0,534.0,26651.0,16.676666666666666
Australia,Wheat,2004,19998.0,534.0,36276.0,16.648333333333333
Australia,Wheat,2005,16348.0,534.0,34310.0,16.798333333333336
Australia,Wheat,2006,20213.0,534.0,35900.0,16.69333333333333
Australia,Wheat,2007,9173.0,534.0,32446.25,17.08
Australia,Wheat,2008,10788.0,534.0,42935.38,16.45
Australia,Wheat,2009,15831.0,534.0,38065.68,17.125
Australia,Wheat,2010,15729.0,534.0,42169.39,16.79
Australia,Wheat,2011,20301.0,534.0,47632.99,16.805
Australia,Wheat,2012,21511.0,534.0,48687.88,16.666666666666668
Australia,Wheat,2013,17609.0,534.0,45177.18,17.088333333333335
Austria,Maize,1990,81800.0,1110.0,4246.0,9.23
Austria,Maize,1991,84800.0,1110.0,4487.0,8.15
Austria,Maize,1992,64800.0,1110.0,3897.0,9.49
Austria,Maize,1993,89710.0,1110.0,3984.0,8.48
Austria,Maize,1994,79160.0,1110.0,3619.0,9.89
