Area,Item,yield_trend
Nicaragua,Rice,43611.12509471132
Nicaragua,Soybean,21634.44218821032
Niger,Maize,7939.998711926048
Niger,Rice,50636.45181088056
Niger,Wheat,16708.17957266257
Norway,Wheat,41999.87626913173
Pakistan,Maize,40015.32194271824
Pakistan,Rice,36383.90847098036
Pakistan,Soybean,8718.373465676617
Pakistan,Wheat,28123.324670404545
Papua New Guinea,Maize,56295.565994847566
Papua New Guinea,Rice,20529.15472041219
Peru,Maize,32550.96961660869
Peru,Rice,77279.51606303966
Peru,Soybean,17042.36687376874
Peru,Wheat,14685.370586452482
Poland,Maize,67217.67328383075
Poland,Wheat,42087.77307167754
Portugal,Maize,77481.86543415627
Portugal,Rice,60417.52273071685
Portugal,Wheat,15380.510759205945
Qatar,Wheat,23618.10387937566
Romania,Maize,36718.32520078798
Romania,Rice,48138.32110925904
Romania,Soybean,21299.85702379141
Romania,Wheat,29669.80489468097
Rwanda,Maize,17131.162600393873
Rwanda,Rice,54751.620397029445
Rwanda,Soybean,6691.789058948325
Rwanda,Wheat,15279.85338687664
Saudi Arabia,Maize,63137.90415214375
Saudi Arabia,Wheat,61687.66623730864
Senegal,Maize,16747.24162751925
Senegal,Rice,35804.576450977474
Slovenia,Maize,81111.53216783237
Slovenia,Soybean,26565.034265734317
Slovenia,Wheat,47780.68531468534
South Africa,Maize,45382.24124867423
South Africa,Rice,26674.64994696167
South Africa,Soybean,17426.979693892994
South Africa,Wheat,34237.456053947564
Spain,Maize,113965.40400060592
Spain,Rice,77371.78898317902
Spain,Soybean,27123.82133656612
Spain,Wheat,32000.94090013625
Sri Lanka,Maize,27124.324443097223
Sri Lanka,Rice,39085.98317926959
Sri Lanka,Soybean,18215.14865888772
Suriname,Maize,24242.34664343088
Suriname,Rice,42555.86672223057
Suriname,Soybean,11144.856114562775
Sweden,Wheat,58953.02962570086
Switzerland,Maize,100667.31216851017
Switzerland,Soybean,28930.09168055764
Switzerland,Wheat,58628.77132898924
Tajikistan,Maize,65229.3626292469
Tajikistan,Rice,57003.02237762232
Tajikistan,Soybean,2388.230069930083
Tajikistan,Wheat,28931.20419580443
Thailand,Maize,44529.61433550529
Thailand,Rice,32650.56205485668
Thailand,Soybean,15771.520003030746
Thailand,Wheat,9538.553568722506
Tunisia,Wheat,18833.54584027879
Turkey,Maize,77974.11895741755
Turkey,Rice,83220.13358084532
Turkey,Soybean,40708.04781027441
Turkey,Wheat,25907.31686619192
Uganda,Maize,22838.31406273681
Uganda,Rice,21194.699121078946
Uganda,Soybean,7318.153053492948
Uganda,Wheat,15937.178511895734
Ukraine,Maize,54758.14755244786
Ukraine,Rice,57668.64125874126
Ukraine,Soybean,18360.83986014
Ukraine,Wheat,29681.497902097908
United Kingdom,Wheat,77483.5902409456
Uruguay,Maize,51580.52962570079
Uruguay,Rice,82616.49128655856
Uruguay,Soybean,21668.82338233065
Uruguay,Wheat,31479.68934687064
Zambia,Maize,24585.205258372476
Zambia,Rice,15865.940597060136
Zambia,Soybean,20535.295650856104
Zambia,Wheat,67053.76655553887
Zimbabwe,Maize,6069.918775572092
Zimbabwe,Rice,22628.4161236551
Zimbabwe,Soybean,14364.667601151685
Zimbabwe,Wheat,24208.64646158507
